,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3621,3788,7952,38.21624398231506
1,EP005,1107,3932,4086,8360,32.96716022491455
2,EP010,733,3612,3810,8243,79.21292114257812
3,EP020,669,3551,3766,6682,38.139450788497925
4,EP030,674,3460,3738,8098,35.40597605705261
5,EP040,611,3441,3644,7938,24.520262718200684
6,EP050,661,3669,3935,8152,25.921939373016357
7,EP060,628,3330,3604,7662,10.46001386642456
8,EP070,616,3528,3699,8108,36.013487577438354
9,EP080,697,3521,3820,8110,28.203609943389893
10,EP090,612,3480,3779,8052,32.10070610046387
11,EP100,648,3584,3938,8094,26.401644706726074
12,EP110,609,3433,3719,8080,22.804749965667725
13,EP120,658,3602,3967,8264,37.78213119506836
14,EP130,608,3492,3808,7860,22.04328155517578
15,EP140,611,3433,3815,8148,21.50408697128296
16,EP150,724,3540,4015,8186,20.372573614120483
