,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3561,3788,6782,37.05100750923157
1,EP005,1107,3871,4086,7026,36.34305143356323
2,EP010,733,3553,3810,6870,75.8764979839325
3,EP020,669,3495,3766,6682,37.53181290626526
4,EP030,674,3460,3738,6748,35.38305854797363
5,EP040,611,3441,3644,6516,24.971778631210327
6,EP050,661,3669,3935,6815,29.24358105659485
7,EP060,628,3330,3604,6316,12.504412412643433
8,EP070,616,3528,3699,6757,39.56314706802368
9,EP080,697,3461,3820,6798,28.600916147232056
10,EP090,612,3480,3779,6703,30.667776823043823
11,EP100,648,3584,3938,6744,25.925634145736694
12,EP110,609,3433,3719,6691,22.57860255241394
13,EP120,658,3602,3967,6915,35.051225662231445
14,EP130,608,3492,3808,6510,22.994749069213867
15,EP140,611,3373,3815,6795,21.604111433029175
16,EP150,724,3540,4015,6835,20.186813354492188
