,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3561,3788,6540,20.15016007423401
1,EP005,1107,3871,4086,7008,38.99003195762634
2,EP010,733,3547,3810,6568,37.37034893035889
3,EP020,669,3495,3766,6538,25.66379690170288
4,EP030,674,3460,3738,6748,35.342450857162476
5,EP040,611,3441,3644,6516,24.34211301803589
6,EP050,661,3669,3935,6687,20.996530771255493
7,EP060,628,3330,3604,6316,9.885965824127197
8,EP070,616,3446,3699,6757,30.700319051742554
9,EP080,697,3461,3820,6576,13.827990770339966
10,EP090,612,3480,3779,6701,30.32792901992798
11,EP100,648,3582,3938,6744,25.59429407119751
12,EP110,609,3433,3719,6691,23.52262282371521
13,EP120,658,3602,3967,6915,36.98458743095398
14,EP130,608,3488,3808,6510,23.216917991638184
15,EP140,611,3371,3815,6567,13.24507451057434
16,EP150,724,3538,4015,6835,20.131781339645386
