,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,65,-2,1165,38.21624398231506
1,EP005,2,58,-2,1333,32.96716022491455
2,EP010,-1,59,-3,1305,79.21292114257812
3,EP020,0,52,-3,-30,38.139450788497925
4,EP030,1,16,-2,1348,35.40597605705261
5,EP040,1,8,4,1418,24.520262718200684
6,EP050,1,-3,-3,1326,25.921939373016357
7,EP060,2,-3,-2,1343,10.46001386642456
8,EP070,2,93,-3,1349,36.013487577438354
9,EP080,1,51,-2,1308,28.203609943389893
10,EP090,-1,-10,-2,1347,32.10070610046387
11,EP100,1,-4,-3,1402,26.401644706726074
12,EP110,0,3,-2,1386,22.804749965667725
13,EP120,1,2,-1,1345,37.78213119506836
14,EP130,0,-1,-2,1348,22.04328155517578
15,EP140,0,60,-2,1345,21.50408697128296
16,EP150,1,-1,-1,1347,20.372573614120483
