,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,5,-2,-251,17.981675148010254
1,EP005,2,-3,-2,-1,33.34927225112915
2,EP010,-1,0,-3,-68,77.60262179374695
3,EP020,0,-4,-3,-30,37.730554819107056
4,EP030,1,16,-2,-2,36.248796463012695
5,EP040,1,8,4,-4,26.784773111343384
6,EP050,1,-3,-3,-11,27.731416940689087
7,EP060,2,-3,-2,-3,10.545064687728882
8,EP070,2,93,-3,-2,37.041285037994385
9,EP080,1,-9,-2,-4,27.391556978225708
10,EP090,-1,-12,-2,-2,31.60413384437561
11,EP100,1,-4,-3,52,25.90176033973694
12,EP110,0,3,-2,-3,22.337873458862305
13,EP120,1,2,-1,-4,34.65117812156677
14,EP130,0,-1,-2,-2,21.90696620941162
15,EP140,0,0,-2,-8,21.166240453720093
16,EP150,1,-1,-1,-4,21.23231053352356
