,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3561,3788,6542,18.503023624420166
1,EP005,1107,3871,4086,6840,18.330002784729004
2,EP010,733,3553,3810,6548,32.192277908325195
3,EP020,669,3495,3766,6466,19.296823978424072
4,EP030,674,3460,3738,6748,35.20733952522278
5,EP040,611,3441,3644,6516,24.3571457862854
6,EP050,661,3669,3935,6675,20.588964223861694
7,EP060,628,3330,3604,6310,9.70346188545227
8,EP070,616,3440,3699,6757,31.68713140487671
9,EP080,697,3461,3820,6520,10.26460337638855
10,EP090,612,3478,3779,6701,31.247869729995728
11,EP100,648,3584,3938,6744,25.99346137046814
12,EP110,609,3433,3719,6691,22.339704990386963
13,EP120,658,3602,3967,6767,28.826563596725464
14,EP130,608,3492,3808,6510,23.082858562469482
15,EP140,611,3373,3815,6795,20.96485948562622
16,EP150,724,3540,4015,6835,20.135947465896606
