,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,5,-2,-5,37.05100750923157
1,EP005,2,-3,-2,-1,36.34305143356323
2,EP010,-1,0,-3,-68,75.8764979839325
3,EP020,0,-4,-3,-30,37.53181290626526
4,EP030,1,16,-2,-2,35.38305854797363
5,EP040,1,8,4,-4,24.971778631210327
6,EP050,1,-3,-3,-11,29.24358105659485
7,EP060,2,-3,-2,-3,12.504412412643433
8,EP070,2,93,-3,-2,39.56314706802368
9,EP080,1,-9,-2,-4,28.600916147232056
10,EP090,-1,-10,-2,-2,30.667776823043823
11,EP100,1,-4,-3,52,25.925634145736694
12,EP110,0,3,-2,-3,22.57860255241394
13,EP120,1,2,-1,-4,35.051225662231445
14,EP130,0,-1,-2,-2,22.994749069213867
15,EP140,0,0,-2,-8,21.604111433029175
16,EP150,1,-1,-1,-4,20.186813354492188
