,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3561,3788,6536,17.981675148010254
1,EP005,1107,3871,4086,7026,33.34927225112915
2,EP010,733,3553,3810,6870,77.60262179374695
3,EP020,669,3495,3766,6682,37.730554819107056
4,EP030,674,3460,3738,6748,36.248796463012695
5,EP040,611,3441,3644,6516,26.784773111343384
6,EP050,661,3669,3935,6815,27.731416940689087
7,EP060,628,3330,3604,6316,10.545064687728882
8,EP070,616,3528,3699,6757,37.041285037994385
9,EP080,697,3461,3820,6798,27.391556978225708
10,EP090,612,3478,3779,6703,31.60413384437561
11,EP100,648,3584,3938,6744,25.90176033973694
12,EP110,609,3433,3719,6691,22.337873458862305
13,EP120,658,3602,3967,6915,34.65117812156677
14,EP130,608,3492,3808,6510,21.90696620941162
15,EP140,611,3373,3815,6795,21.166240453720093
16,EP150,724,3540,4015,6835,21.23231053352356
