,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,5,-2,-185,38.080751180648804
1,EP005,2,58,-2,-1,32.35727143287659
2,EP010,-1,0,-3,-20,76.87668871879578
3,EP020,0,-4,-3,-30,38.04872703552246
4,EP030,1,16,-2,-2,35.45531415939331
5,EP040,1,8,4,68,25.18262219429016
6,EP050,1,-3,-3,-11,25.861458778381348
7,EP060,2,-3,-2,-3,9.997729539871216
8,EP070,2,93,-3,-2,36.144214153289795
9,EP080,1,-9,-2,-4,27.528353214263916
10,EP090,-1,-10,-2,-2,30.490294456481934
11,EP100,1,-4,-3,52,25.975280284881592
12,EP110,0,3,-2,-3,22.51757574081421
13,EP120,1,2,-1,-4,34.76313304901123
14,EP130,0,-1,-2,-2,21.95208430290222
15,EP140,0,0,-2,-8,21.085803985595703
16,EP150,1,-1,-1,-4,20.173177242279053
